"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"JP1E";"JP1";"JP4";"JUMPER";"";
"1";"";"PINHD-1X01_2.54-S";"1X01-S";"JP3";"PIN HEADER";"";
"1";"";"PINHD-1X03_2.54-S";"1X03-S";"JP1";"PIN HEADER";"";
"5";"";"PINHD-1X04_2.54-S";"1X04-S";"CAN, I2C1, POWER-PINS, POWER-PINS1, USART1";"PIN HEADER";"";
"1";"";"PINHD-1X05_2.54-S";"1X05-S";"JP2";"PIN HEADER";"";
"4";"";"PINHD-1X06_2.54-S";"1X06-S";"ANALOG, SPI1, SPI2, SWD";"PIN HEADER";"";
"1";"";"PINHD-1X08_2.54-S";"1X08-S";"DIGITAL";"PIN HEADER";"";
"1";"";"PINHD-2X03_2.54";"2X03";"BOOT";"PIN HEADER";"";
"2";"";"PINHD-2X05_2.54";"2X05";"CC1101, MODEMCTL";"PIN HEADER";"";
"1";"";"SWITCH-SPDT-SMD-A";"SWITCH-SPST-SMD-A";"S1";"SPDT Switch";"";
"1";"";"USB_MICRO_20329_V2";"4UCONN_20329_V2";"POWER";"USB Connectors";"";
"1";"0R";"R-EU_R0805";"R0805";"R25";"RESISTOR, European symbol";"";
"1";"100R";"R-EU_R0805";"R0805";"R3";"RESISTOR, European symbol";"";
"2";"100k";"R-EU_R0805";"R0805";"R12, R16";"RESISTOR, European symbol";"";
"14";"100nF";"C-EUC0805";"C0805";"C1, C2, C4, C5, C6, C7, C9, C22, C23, C25, C29, C30, C31, C35";"CAPACITOR, European symbol";"";
"1";"100uF";"CPOL-EUB/3528-21R";"B/3528-21R";"C19";"POLARIZED CAPACITOR, European symbol";"";
"3";"10k";"R-EU_R0805";"R0805";"R7, R8, R21";"RESISTOR, European symbol";"";
"1";"10pF";"C-EUC0805";"C0805";"C33";"CAPACITOR, European symbol";"";
"3";"10uF";"C-EUC0805";"C0805";"C14, C16, C18";"CAPACITOR, European symbol";"";
"1";"10uF";"C-EUC1206";"C1206";"C8";"CAPACITOR, European symbol";"";
"2";"15pF";"C-EUC0805";"C0805";"C12, C13";"CAPACITOR, European symbol";"";
"1";"1812L050/30PR";"PTCFUSE-1812";"1812";"F1";"PTC fuses, resettable thermistors";"";
"6";"1k";"R-EU_R0805";"R0805";"R1, R2, R5, R10, R11, R32";"RESISTOR, European symbol";"";
"1";"1k5";"R-EU_R0805";"R0805";"R31";"RESISTOR, European symbol";"";
"3";"1uF";"C-EUC0805";"C0805";"C3, C15, C17";"CAPACITOR, European symbol";"";
"1";"2.1MMJACKSMT";"2.1MMJACKSMT";"DCJACK_2MM_SMT";"U$1";"2.1mm x 5.5mm THM DC jack with internal switch. Digikey part #PJ-102A, 4UCON part #05537";"";
"1";"2.2UH3A";"INDUCTOR-IFSC1515AHER2R2M01";"INDUCTOR_4X4MM";"L2";"Inductors";"";
"3";"22R";"R-EU_R0805";"R0805";"R17, R18, R24";"RESISTOR, European symbol";"";
"2";"22uF";"C-EUC0805";"C0805";"C20, C21";"CAPACITOR, European symbol";"";
"2";"25pF";"C-EUC0805";"C0805";"C10, C11";"CAPACITOR, European symbol";"";
"2";"2k2";"R-EU_R0805";"R0805";"R13, R28";"RESISTOR, European symbol";"";
"1";"32.768kHz";"KX-327-NHT";"3.2X1.5";"Q1";"Tuning Fork Crystals (kHz) SMD:";"";
"1";"33nH";"WE-CBF_0603";"0603";"L1";"SMD EMI Suppression Ferrite Beads";"";
"4";"33pF";"C-EUC0805";"C0805";"C24, C26, C27, C32";"CAPACITOR, European symbol";"";
"1";"400R";"R-EU_R0805";"R0805";"R9";"RESISTOR, European symbol";"";
"4";"47k";"R-EU_R0805";"R0805";"R20, R22, R27, R33";"RESISTOR, European symbol";"";
"7";"4k7";"R-EU_R0805";"R0805";"R4, R19, R23, R26, R29, R30, R34";"RESISTOR, European symbol";"";
"1";"5k6";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";
"2";"750k";"R-EU_R0805";"R0805";"R14, R15";"RESISTOR, European symbol";"";
"1";"8MHz";"XTALNX5032";"NX5032";"X1";"Low cost SMT crystals, no capacitors included";"";
"4";"9013";"TRANSISTOR-NPN-SOT23";"SOT23";"Q2, Q3, Q4, Q5";"NPN audion";"";
"1";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"U3";"SOT23-5 Fixed Voltage Regulators";"";
"1";"BC92";"BC92";"BC92";"U6";"";"";
"1";"C265329";"JST_2PIN-SMT";"JST-PH-2-SMT";"LIPO";"JST 2-Pin Connectors of various flavors";"";
"2";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"LED, NET";"LED";"";
"1";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"U2";"MCP73831/2 LIPO Charger";"";
"1";"MICROSIM";"MICROSIM";"MICROSIM";"U5";"";"";
"1";"MMSZ5231BT1G";"DIODE-ZENERSOD123";"SOD-123";"D4";"Zener Diode";"";
"4";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE3.0THIN";"MOUNTINGHOLE_3.0_PLATEDTHIN";"$H1, $H2, $H3, $H4";"Mounting Hole";"";
"1";"PAM2401";"PAM2401";"MSOP8";"U4";"PAM2401 - Boost PMIC";"";
"2";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"CHG, PWR";"LED";"";
"1";"SIM-ST-MFF2";"SIM-ST-MFF2";"PSON127P500X600X82-9N";"U7";"GLOBAL IOT EMBEDDED SIM CHIP Check prices";"";
"1";"SMF05CT1G";"TVSARRAY_5LANE";"SOT363";"D3";"Voltage Transient Suppressor Array";"";
"1";"STM32F103RBT6";"STM32F103RBT6";"LQFP64-10X10MM";"U1";"";"";
"4";"SWITCH-MOMENTARY-2SMD";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"S2, S3, S4, S6";"Various NO switches- pushbuttons, reed, etc";"";
"1";"U-FL";"ANTENNA-U-FL";"4P-U-FL";"RF_ANT";"";"";
"1";"USBLC6-2SC6YSOT23-6L_STM-L";"USBLC6-2SC6YSOT23-6L_STM-L";"SOT23-6L_STM-L";"U8";"";"";
